Date,Clics,Impressions,CTR,Position
2025-05-10,3,2444,0.12%,33.8
2025-05-11,9,1455,0.62%,30.9
2025-05-12,9,1539,0.58%,31.7
2025-05-13,8,1507,0.53%,30.9
2025-05-14,3,1473,0.2%,31.4
2025-05-15,7,1863,0.38%,33.3
2025-05-16,6,1546,0.39%,31.1
2025-05-17,9,1488,0.6%,31.9
2025-05-18,6,1594,0.38%,32.3
2025-05-19,9,1727,0.52%,32.2
2025-05-20,30,2037,1.47%,24.9
2025-05-21,17,1575,1.08%,27.7
2025-05-22,13,1558,0.83%,29.1
2025-05-23,52,2261,2.3%,22.5
2025-05-24,18,1715,1.05%,29.8
2025-05-25,13,1708,0.76%,30.4
2025-05-26,3,1673,0.18%,31.3
2025-05-27,3,1613,0.19%,30.7
2025-05-28,9,1681,0.54%,31.2
2025-05-29,11,1823,0.6%,31.9
2025-05-30,5,1487,0.34%,31.7
2025-05-31,6,1694,0.35%,33.4
2025-06-01,8,1986,0.4%,34.1
2025-06-02,11,1780,0.62%,34.1
2025-06-03,9,1761,0.51%,32.4
2025-06-04,3,2375,0.13%,34.8
2025-06-05,4,1844,0.22%,32.2
2025-06-06,7,1914,0.37%,33
2025-06-07,6,1869,0.32%,31.5
2025-06-08,11,1849,0.59%,32.8
2025-06-09,6,2170,0.28%,34.6
2025-06-10,3,2653,0.11%,33.1
2025-06-11,6,1689,0.36%,32.2
2025-06-12,6,2806,0.21%,35.9
2025-06-13,1,1849,0.05%,33.1
2025-06-14,7,2061,0.34%,32.3
2025-06-15,3,1724,0.17%,32.2
2025-06-16,6,1860,0.32%,32.1
2025-06-17,4,1833,0.22%,30.8
2025-06-18,8,2289,0.35%,30.8
2025-06-19,5,1907,0.26%,30.3
2025-06-20,9,1716,0.52%,31.1
2025-06-21,9,1869,0.48%,30.7
2025-06-22,3,1641,0.18%,29.3
2025-06-23,8,1968,0.41%,29.5
2025-06-24,7,1828,0.38%,29
2025-06-25,5,1745,0.29%,31
2025-06-26,4,1691,0.24%,33
2025-06-27,5,1503,0.33%,32.3
2025-06-28,3,1419,0.21%,34.3
2025-06-29,6,1560,0.38%,32.1
2025-06-30,9,1772,0.51%,32
2025-07-01,7,1667,0.42%,32.8
2025-07-02,3,2023,0.15%,33.9
2025-07-03,10,1706,0.59%,31.8
2025-07-04,9,2141,0.42%,33.6
2025-07-05,4,1686,0.24%,32.3
2025-07-06,13,1617,0.8%,29.6
2025-07-07,4,1628,0.25%,30.2
2025-07-08,4,1567,0.26%,29.7
2025-07-09,7,1903,0.37%,27.3
2025-07-10,3,1906,0.16%,31.3
2025-07-11,12,3028,0.4%,33.5
2025-07-12,4,2968,0.13%,37.4
2025-07-13,2,1671,0.12%,32.2
2025-07-14,4,2289,0.17%,33.2
2025-07-15,6,1657,0.36%,32.7
2025-07-16,7,1824,0.38%,31.2
2025-07-17,3,1628,0.18%,34
2025-07-18,6,1603,0.37%,33.5
2025-07-19,5,1538,0.33%,32
2025-07-20,0,1620,0%,34.9
2025-07-21,9,1593,0.56%,33.7
2025-07-22,3,1719,0.17%,34.1
2025-07-23,9,1508,0.6%,33
2025-07-24,3,1391,0.22%,33.5
2025-07-25,2,1657,0.12%,34.6
2025-07-26,9,1255,0.72%,32.2
2025-07-27,3,1254,0.24%,31.7
2025-07-28,5,1305,0.38%,32.2
2025-07-29,7,1284,0.55%,31.8
2025-07-30,9,1336,0.67%,31.1
2025-07-31,6,1529,0.39%,32
2025-08-01,4,1388,0.29%,32.7
2025-08-02,5,1316,0.38%,33.7
2025-08-03,6,1641,0.37%,35.7
2025-08-04,8,1419,0.56%,35.2
2025-08-05,4,1272,0.31%,34.1
2025-08-06,9,1780,0.51%,36
2025-08-07,1,1555,0.06%,33.8
2025-08-08,5,1488,0.34%,34.9
2025-08-09,5,1486,0.34%,33.6
2025-08-10,5,1410,0.35%,33.9
2025-08-11,5,1639,0.31%,34.6
2025-08-12,2,1591,0.13%,32.9
2025-08-13,6,1663,0.36%,31.3
2025-08-14,10,2572,0.39%,33.9
2025-08-15,5,1856,0.27%,32.3
2025-08-16,1,1554,0.06%,29.7
2025-08-17,5,1469,0.34%,30.4
2025-08-18,5,1624,0.31%,30.6
2025-08-19,4,1594,0.25%,31.5
2025-08-20,6,1440,0.42%,30.3
2025-08-21,7,1997,0.35%,32.4
2025-08-22,5,1662,0.3%,31.2
2025-08-23,5,1670,0.3%,31.9
2025-08-24,4,1623,0.25%,31.5
2025-08-25,4,1976,0.2%,34.1
2025-08-26,8,2583,0.31%,31
2025-08-27,2,1783,0.11%,33.5
2025-08-28,9,1655,0.54%,32.3
2025-08-29,4,1677,0.24%,32.3
2025-08-30,6,1755,0.34%,32.9
2025-08-31,10,1723,0.58%,32.4
2025-09-01,6,1873,0.32%,33.8
2025-09-02,5,1723,0.29%,32.4
2025-09-03,12,1802,0.67%,34.5
2025-09-04,6,1997,0.3%,34.6
2025-09-05,8,1851,0.43%,34
2025-09-06,5,1745,0.29%,33.3
2025-09-07,7,1655,0.42%,33.5
2025-09-08,6,1828,0.33%,32.9
2025-09-09,5,1597,0.31%,32.9
2025-09-10,7,1499,0.47%,30.9
2025-09-11,9,1469,0.61%,30.1
2025-09-12,10,1346,0.74%,26.7
2025-09-13,6,1165,0.52%,23.2
2025-09-14,6,1234,0.49%,26.7
2025-09-15,9,1417,0.64%,27.7
2025-09-16,5,1330,0.38%,28.4
2025-09-17,11,1593,0.69%,25.7
2025-09-18,7,1098,0.64%,27.5
2025-09-19,10,1214,0.82%,27
2025-09-20,6,1254,0.48%,29
2025-09-21,8,1254,0.64%,27.1
2025-09-22,11,1167,0.94%,26.4
2025-09-23,4,1209,0.33%,27.4
2025-09-24,2,1263,0.16%,26.9
2025-09-25,8,1211,0.66%,25.9
2025-09-26,6,1195,0.5%,27.4
2025-09-27,3,1224,0.25%,27
2025-09-28,11,1191,0.92%,26.8
2025-09-29,9,1244,0.72%,25.7
2025-09-30,6,1288,0.47%,25.9
2025-10-01,11,1759,0.63%,23.8
2025-10-02,6,1189,0.5%,23.9
2025-10-03,2,631,0.32%,20.5
2025-10-04,6,1672,0.36%,27.2
2025-10-05,6,1176,0.51%,25.3
2025-10-06,7,1246,0.56%,24.5
2025-10-07,11,1358,0.81%,24.6
2025-10-08,11,1207,0.91%,24.2
2025-10-09,6,1273,0.47%,25.2
2025-10-10,5,1287,0.39%,26.1
2025-10-11,6,1306,0.46%,23.7
2025-10-12,8,1288,0.62%,23.1
2025-10-13,6,1300,0.46%,23.5
2025-10-14,3,1259,0.24%,23.9
2025-10-15,12,1107,1.08%,23
2025-10-16,5,1040,0.48%,25.6
2025-10-17,8,1085,0.74%,23.8
2025-10-18,3,1779,0.17%,29.2
2025-10-19,7,1156,0.61%,23.4
2025-10-20,7,1098,0.64%,21.9
2025-10-21,6,1097,0.55%,22.2
2025-10-22,5,1554,0.32%,20.6
2025-10-23,4,1048,0.38%,23.7
2025-10-24,8,557,1.44%,17.6
2025-10-25,7,1607,0.44%,26
2025-10-26,13,1075,1.21%,24.3
2025-10-27,4,1045,0.38%,22
2025-10-28,4,1109,0.36%,24.6
2025-10-29,9,1070,0.84%,25.6
2025-10-30,5,1039,0.48%,24.7
2025-10-31,2,649,0.31%,21.9
2025-11-01,4,1187,0.34%,26
2025-11-02,10,1564,0.64%,25
2025-11-03,3,1162,0.26%,22.5
2025-11-04,4,1009,0.4%,25
2025-11-05,9,1095,0.82%,27.9
2025-11-06,5,1085,0.46%,25.7
2025-11-07,6,1140,0.53%,25.6
2025-11-08,6,1576,0.38%,27.7
2025-11-09,7,1203,0.58%,25.4
2025-11-10,7,1971,0.36%,21.4
2025-11-11,8,1400,0.57%,23.3
2025-11-12,9,1407,0.64%,24.9
2025-11-13,6,1442,0.42%,21.4
2025-11-14,9,1556,0.58%,23.1
2025-11-15,11,1414,0.78%,22.9
2025-11-16,14,1453,0.96%,20.4
2025-11-17,6,1296,0.46%,22.3
2025-11-18,8,1310,0.61%,23.5
2025-11-19,5,1359,0.37%,24.2
2025-11-20,8,1745,0.46%,24.5
2025-11-21,8,966,0.83%,23.5
2025-11-22,5,1875,0.27%,27
2025-11-23,7,1316,0.53%,25.9
2025-11-24,8,1305,0.61%,28.7
2025-11-25,1,1109,0.09%,28.7
2025-11-26,4,1102,0.36%,29.6
2025-11-27,7,1312,0.53%,29.4
2025-11-28,1,949,0.11%,32.5
2025-11-29,1,796,0.13%,34.3
2025-11-30,0,684,0%,34.3
2025-12-01,2,845,0.24%,35.4
2025-12-02,3,569,0.53%,33.4
2025-12-03,0,737,0%,34.2
2025-12-04,0,825,0%,31.9
2025-12-05,1,769,0.13%,33.8
2025-12-06,2,651,0.31%,32.2
2025-12-07,0,545,0%,37.5
2025-12-08,0,605,0%,37.4
2025-12-09,2,531,0.38%,34.9
2025-12-10,0,925,0%,32.3
2025-12-11,0,487,0%,36.4
2025-12-12,4,1167,0.34%,42.3
2025-12-13,2,451,0.44%,37.5
2025-12-14,1,499,0.2%,36.4
2025-12-15,0,590,0%,39.4
2025-12-16,0,585,0%,36.4
2025-12-17,0,298,0%,36.1
2025-12-18,2,628,0.32%,36.9
2025-12-19,1,476,0.21%,37
2025-12-20,1,540,0.19%,35.6
2025-12-21,0,413,0%,36.1
2025-12-22,2,570,0.35%,41.1
2025-12-23,1,481,0.21%,39.3
2025-12-24,0,525,0%,43.2
2025-12-25,1,472,0.21%,40.9
2025-12-26,0,430,0%,39.5
2025-12-27,0,417,0%,38.3
2025-12-28,2,398,0.5%,41.2
2025-12-29,2,527,0.38%,41
2025-12-30,0,431,0%,39.9
