Pays,Clics,Impressions,CTR,Position
Zimbabwe,1,69,1.45%,48.61
Burundi,1,58,1.72%,10.95
Cuba,1,34,2.94%,27.41
République Centrafricaine,1,33,3.03%,4.79
Russie,0,27628,0%,44.51
Argentine,0,8619,0%,37.93
Bangladesh,0,7366,0%,40.1
Irak,0,6713,0%,40.59
Arabie Saoudite,0,6501,0%,41.76
Ukraine,0,6185,0%,43.25
Afrique du Sud,0,5165,0%,40.74
Équateur,0,4306,0%,36.92
Jordanie,0,3452,0%,39.74
Ouzbékistan,0,2942,0%,39.51
Népal,0,2500,0%,40.65
Région inconnue,0,1969,0%,40.11
Pérou,0,1902,0%,39.32
Chili,0,1872,0%,39.01
Lituanie,0,1744,0%,45.05
Kazakhstan,0,1703,0%,40.37
Iran,0,1698,0%,43.62
Trinité-et-Tobago,0,1540,0%,42.45
Kenya,0,1521,0%,40.8
Bulgarie,0,1489,0%,44.24
Paraguay,0,1476,0%,36.73
Jamaïque,0,1246,0%,41.51
Uruguay,0,1196,0%,36.15
Serbie,0,1122,0%,40.03
Hongrie,0,1006,0%,41.8
Barbade (La),0,945,0%,43.26
Bosnie-Herzégovine,0,814,0%,38.41
Albanie,0,780,0%,35.01
Myanmar (Birmanie),0,713,0%,38.96
Honduras,0,684,0%,39.61
Panama,0,678,0%,35.91
Koweït,0,678,0%,41.02
Géorgie,0,677,0%,42.24
Palestine,0,675,0%,39.84
Syrie,0,661,0%,39.35
Chypre,0,645,0%,43.52
Lettonie,0,616,0%,42.58
Bolivie,0,611,0%,36.85
Moldavie,0,563,0%,39.57
Nigéria,0,557,0%,41.27
Kirghizistan,0,528,0%,38.93
Guatemala,0,527,0%,37.57
Bahreïn,0,521,0%,40.13
Éthiopie,0,500,0%,42.34
Qatar,0,466,0%,38.47
Nouvelle-Zélande,0,462,0%,40.42
Bahamas,0,397,0%,41.83
Arménie,0,382,0%,40.25
Angola,0,378,0%,38.48
Slovaquie,0,371,0%,42.55
El Salvador,0,339,0%,37.91
Porto Rico,0,334,0%,40.1
Cambodge,0,300,0%,36.82
Ghana,0,290,0%,38.77
Slovénie,0,280,0%,39.85
Macédoine,0,270,0%,39.63
Nicaragua,0,266,0%,36.18
Guyane,0,248,0%,38.77
Estonie,0,190,0%,41.43
Libye,0,187,0%,37.66
Belize,0,187,0%,39.68
Mongolie,0,185,0%,43.51
Tanzanie,0,172,0%,36.15
Seychelles,0,159,0%,42.55
Brunei,0,145,0%,35.45
Malte,0,144,0%,32.37
Mauritanie,0,129,0%,14.53
Ouganda,0,125,0%,32.87
Grenade,0,116,0%,43.9
Bermudes,0,113,0%,42.15
Sainte-Lucie,0,111,0%,39.03
Caïmans (Îles),0,105,0%,45.62
Monténégro,0,99,0%,37.09
Botswana,0,97,0%,41.97
Saint-Vincent-et-les-Grenadines,0,94,0%,46.31
Saint-Christophe-et-Niévès,0,92,0%,42.53
Laos,0,90,0%,38.52
Maldives,0,84,0%,43.76
Somalie,0,76,0%,40.3
Antigua-et-Barbuda,0,73,0%,42.62
Mozambique,0,73,0%,46.47
Kosovo,0,71,0%,33.87
Polynésie française,0,68,0%,9
Yémen,0,68,0%,46.37
Zambie,0,62,0%,37.68
Jersey,0,51,0%,50
Îles Vierges britanniques,0,50,0%,42.58
Gambie,0,48,0%,24.85
Curaçao,0,46,0%,42.2
Malawi,0,46,0%,42.37
Sint Maarten,0,46,0%,43.87
Tadjikistan,0,45,0%,41.6
Man (Île),0,44,0%,39.91
Aruba,0,41,0%,40.12
Sierra Leone,0,36,0%,36.11
Îles Turks-et-Caïcos,0,31,0%,33.32
Sahara oriental,0,29,0%,24.66
Dominique,0,27,0%,45.22
Guernesey,0,26,0%,38.69
Fidji,0,24,0%,35.92
Macao,0,24,0%,43
Afghanistan,0,23,0%,37.78
Saint-Martin,0,22,0%,13.82
Gibraltar,0,19,0%,46.89
Lesotho,0,19,0%,52.68
Faroe (Îles),0,15,0%,42.47
Turkménistan,0,14,0%,38.57
Guam,0,14,0%,47.86
Liberia,0,13,0%,45.69
Anguilla,0,12,0%,47.17
Îles Vierges américaines,0,12,0%,48.5
Guinée équatoriale,0,11,0%,16.18
Saint-Pierre-et-Miquelon,0,10,0%,8.1
Swaziland,0,10,0%,39.8
Saint-Barthélemy,0,9,0%,6.78
Bhutan,0,9,0%,39.56
Vanuatu,0,7,0%,20.86
Soudan du Sud,0,5,0%,28.2
Saint-Marin,0,5,0%,34.6
Pays-Bas caribéens,0,5,0%,58
Soudan,0,4,0%,25.5
Groenland,0,4,0%,50.25
Liechtenstein,0,3,0%,31.67
Sainte-Hélène,0,3,0%,47.33
Micronésie,0,3,0%,56
Solomon (Îles),0,2,0%,28.5
Palau,0,2,0%,49.5
Papouasie-Nouvelle Guinée,0,2,0%,59
Svalbard et Jan Mayen,0,2,0%,59
Sao Tomé-et-Principe,0,1,0%,9
Wallis-et-Futuna,0,1,0%,10
Marshall (Îles),0,1,0%,15
Cook (Îles),0,1,0%,18
Montserrat,0,1,0%,25
Nauru,0,1,0%,76
