Date,Clics,Impressions,CTR,Position
2025-03-14,129,6349,2.03%,17.2
2025-03-15,135,6340,2.13%,17.6
2025-03-16,127,5735,2.21%,17.9
2025-03-17,158,5797,2.73%,17.7
2025-03-18,133,5653,2.35%,17.4
2025-03-19,115,5612,2.05%,18.3
2025-03-20,118,6612,1.78%,20.6
2025-03-21,110,5636,1.95%,19.6
2025-03-22,120,5999,2%,18.4
2025-03-23,105,5052,2.08%,18.9
2025-03-24,123,6041,2.04%,19.2
2025-03-25,113,5400,2.09%,18.7
2025-03-26,129,5482,2.35%,18.6
2025-03-27,103,5260,1.96%,19
2025-03-28,107,5440,1.97%,19
2025-03-29,112,5250,2.13%,19
2025-03-30,116,5264,2.2%,18.8
2025-03-31,123,5972,2.06%,19.3
2025-04-01,129,6271,2.06%,19.9
2025-04-02,123,6003,2.05%,18.6
2025-04-03,128,6097,2.1%,21.4
2025-04-04,104,6187,1.68%,19.9
2025-04-05,119,5891,2.02%,20.4
2025-04-06,94,5444,1.73%,19.4
2025-04-07,130,5619,2.31%,18.7
2025-04-08,122,5746,2.12%,19
2025-04-09,86,5516,1.56%,18.5
2025-04-10,106,5288,2%,18.3
2025-04-11,111,5621,1.97%,18.5
2025-04-12,97,6231,1.56%,22.1
2025-04-13,126,6565,1.92%,22.2
2025-04-14,128,5507,2.32%,18.9
2025-04-15,114,5432,2.1%,19
2025-04-16,101,4784,2.11%,18.4
2025-04-17,119,4963,2.4%,20.9
2025-04-18,109,5700,1.91%,22.1
2025-04-19,100,5686,1.76%,22.8
2025-04-20,106,5073,2.09%,23.6
2025-04-21,108,6045,1.79%,21.3
2025-04-22,106,5859,1.81%,21.1
2025-04-23,97,6560,1.48%,24.3
2025-04-24,105,6220,1.69%,21.7
2025-04-25,122,5557,2.2%,21.9
2025-04-26,108,5766,1.87%,21.9
2025-04-27,103,5795,1.78%,21.8
2025-04-28,130,5899,2.2%,20.6
2025-04-29,92,5840,1.58%,20.1
2025-04-30,90,5813,1.55%,22
2025-05-01,70,5681,1.23%,21.7
2025-05-02,109,6333,1.72%,20.7
2025-05-03,78,6018,1.3%,22.5
2025-05-04,104,6173,1.68%,22
2025-05-05,119,6283,1.89%,21.3
2025-05-06,124,6026,2.06%,19.7
2025-05-07,116,5465,2.12%,19.4
2025-05-08,113,6716,1.68%,19.1
2025-05-09,89,5767,1.54%,19.8
2025-05-10,89,5465,1.63%,21.5
2025-05-11,83,4930,1.68%,21
2025-05-12,114,5664,2.01%,19.9
2025-05-13,92,4694,1.96%,20.2
2025-05-14,87,5019,1.73%,20.1
2025-05-15,75,4977,1.51%,21.3
2025-05-16,68,4535,1.5%,20.4
2025-05-17,66,4576,1.44%,20.6
2025-05-18,102,5016,2.03%,19.7
2025-05-19,83,5421,1.53%,20.4
2025-05-20,96,4882,1.97%,19
2025-05-21,95,4749,2%,20.6
2025-05-22,84,4936,1.7%,20
2025-05-23,82,6355,1.29%,24.3
2025-05-24,70,5376,1.3%,23
2025-05-25,79,5222,1.51%,22
2025-05-26,92,5988,1.54%,22.1
2025-05-27,116,5420,2.14%,22.4
2025-05-28,102,5151,1.98%,22.5
2025-05-29,91,5346,1.7%,23.2
2025-05-30,73,5382,1.36%,21
2025-05-31,66,5413,1.22%,25.4
2025-06-01,94,5502,1.71%,23.9
2025-06-02,108,5345,2.02%,21.7
2025-06-03,77,5685,1.35%,21.3
2025-06-04,100,6350,1.57%,23.6
2025-06-05,87,6083,1.43%,22.8
2025-06-06,91,5956,1.53%,22
2025-06-07,88,6255,1.41%,21.1
2025-06-08,92,6701,1.37%,23
2025-06-09,84,6932,1.21%,24.7
2025-06-10,89,6415,1.39%,21.1
2025-06-11,102,6242,1.63%,23.3
2025-06-12,90,6945,1.3%,26.2
2025-06-13,75,5626,1.33%,24.6
2025-06-14,81,5439,1.49%,23.7
2025-06-15,75,5906,1.27%,24.9
2025-06-16,100,5807,1.72%,23.3
2025-06-17,93,5758,1.62%,22.6
2025-06-18,90,5771,1.56%,25.1
2025-06-19,78,5607,1.39%,24.1
2025-06-20,76,5644,1.35%,22.7
2025-06-21,68,5353,1.27%,25
2025-06-22,88,5743,1.53%,24
2025-06-23,98,6215,1.58%,21.8
2025-06-24,105,5678,1.85%,22.2
2025-06-25,81,5763,1.41%,23.8
2025-06-26,80,6287,1.27%,25
2025-06-27,81,5790,1.4%,22.4
2025-06-28,63,5457,1.15%,24.1
2025-06-29,93,5762,1.61%,22.7
2025-06-30,85,6199,1.37%,23
2025-07-01,90,5970,1.51%,23
2025-07-02,90,6205,1.45%,23.9
2025-07-03,97,5818,1.67%,21.2
2025-07-04,73,6296,1.16%,24.1
2025-07-05,86,6017,1.43%,24.7
2025-07-06,69,5669,1.22%,22.1
2025-07-07,107,5988,1.79%,20.9
2025-07-08,119,5913,2.01%,21.2
2025-07-09,106,7004,1.51%,22.3
2025-07-10,85,5850,1.45%,24
2025-07-11,70,6823,1.03%,25
2025-07-12,74,7651,0.97%,27.9
2025-07-13,79,5342,1.48%,23.5
2025-07-14,110,6392,1.72%,21.9
2025-07-15,90,6026,1.49%,21.5
2025-07-16,108,5895,1.83%,21.9
2025-07-17,88,6132,1.44%,22.6
2025-07-18,58,5921,0.98%,24.2
2025-07-19,68,5467,1.24%,24.3
2025-07-20,72,5372,1.34%,24.3
2025-07-21,78,5954,1.31%,24.6
2025-07-22,88,6129,1.44%,23.8
2025-07-23,72,5867,1.23%,26
2025-07-24,73,5688,1.28%,24.8
2025-07-25,69,5875,1.17%,26.5
2025-07-26,68,5020,1.35%,23.5
2025-07-27,81,4726,1.71%,21.6
2025-07-28,103,5588,1.84%,20.1
2025-07-29,82,5513,1.49%,19.4
2025-07-30,106,5796,1.83%,20.4
2025-07-31,72,5951,1.21%,22.3
2025-08-01,69,4634,1.49%,21.4
2025-08-02,82,4679,1.75%,22.8
2025-08-03,71,4637,1.53%,21.9
2025-08-04,77,5079,1.52%,21.9
2025-08-05,75,4885,1.54%,21.8
2025-08-06,68,5493,1.24%,26.4
2025-08-07,70,5081,1.38%,24.3
2025-08-08,66,5863,1.13%,23
2025-08-09,53,5079,1.04%,24.2
2025-08-10,59,4869,1.21%,23.7
2025-08-11,86,6480,1.33%,24
2025-08-12,78,6032,1.29%,23
2025-08-13,90,6069,1.48%,22
2025-08-14,69,6920,1%,25.6
2025-08-15,67,6068,1.1%,21.9
2025-08-16,72,5812,1.24%,20.7
2025-08-17,61,5228,1.17%,19.9
2025-08-18,91,5938,1.53%,19.8
2025-08-19,88,5990,1.47%,19.1
2025-08-20,69,5791,1.19%,19.7
2025-08-21,77,7074,1.09%,24
2025-08-22,81,5981,1.35%,23.5
2025-08-23,69,7177,0.96%,26.4
2025-08-24,70,6470,1.08%,21.7
2025-08-25,82,6628,1.24%,21.9
2025-08-26,82,6663,1.23%,22.2
2025-08-27,64,6526,0.98%,24.6
2025-08-28,80,6431,1.24%,24
2025-08-29,82,6069,1.35%,25
2025-08-30,71,6136,1.16%,25.9
2025-08-31,96,6406,1.5%,26.9
2025-09-01,83,6187,1.34%,25.1
2025-09-02,70,5890,1.19%,25
2025-09-03,79,6258,1.26%,26.3
2025-09-04,79,6858,1.15%,27.4
2025-09-05,96,5970,1.61%,25.9
2025-09-06,85,6424,1.32%,26
2025-09-07,77,5892,1.31%,25.1
2025-09-08,72,6408,1.12%,24.9
2025-09-09,102,6909,1.48%,22.2
2025-09-10,125,6707,1.86%,18
2025-09-11,95,6645,1.43%,17.8
2025-09-12,96,7030,1.37%,15.7
2025-09-13,87,6163,1.41%,11.4
2025-09-14,91,6154,1.48%,13.2
2025-09-15,133,6297,2.11%,13.3
2025-09-16,89,5671,1.57%,14.8
2025-09-17,97,6131,1.58%,14.8
2025-09-18,106,5403,1.96%,13
2025-09-19,103,7271,1.42%,18.5
2025-09-20,99,6615,1.5%,13.3
2025-09-21,99,6566,1.51%,13.4
2025-09-22,124,6348,1.95%,13.4
2025-09-23,70,5318,1.32%,15.1
2025-09-24,90,4972,1.81%,15.3
2025-09-25,78,4616,1.69%,16.6
2025-09-26,88,4515,1.95%,16.6
2025-09-27,93,4708,1.98%,16.1
2025-09-28,77,4469,1.72%,16.4
2025-09-29,101,4764,2.12%,16
2025-09-30,82,4962,1.65%,18.2
2025-10-01,82,4753,1.73%,16.5
2025-10-02,93,4640,2%,18.1
2025-10-03,83,4024,2.06%,16.9
2025-10-04,77,4150,1.86%,19
2025-10-05,74,3954,1.87%,18.4
2025-10-06,100,4309,2.32%,17.4
2025-10-07,100,4125,2.42%,17.7
2025-10-08,78,3983,1.96%,17.2
2025-10-09,68,3843,1.77%,18.4
2025-10-10,73,4110,1.78%,18.9
2025-10-11,97,4007,2.42%,17.9
2025-10-12,73,3948,1.85%,16.8
2025-10-13,92,4094,2.25%,17
2025-10-14,87,4423,1.97%,17.4
2025-10-15,76,4322,1.76%,19.4
2025-10-16,76,4336,1.75%,19.9
2025-10-17,72,4207,1.71%,20.2
2025-10-18,77,5048,1.53%,22
2025-10-19,93,4610,2.02%,19.6
2025-10-20,83,4553,1.82%,18.1
2025-10-21,70,4301,1.63%,18.8
2025-10-22,81,4369,1.85%,19.1
2025-10-23,72,4062,1.77%,20.1
2025-10-24,74,4286,1.73%,19.7
2025-10-25,74,3940,1.88%,18
2025-10-26,83,3277,2.53%,14.3
2025-10-27,106,4056,2.61%,14.4
2025-10-28,77,4387,1.76%,19.4
2025-10-29,99,4156,2.38%,19.7
2025-10-30,81,4516,1.79%,20.8
2025-10-31,56,4166,1.34%,22.3
2025-11-01,76,4179,1.82%,21.2
2025-11-02,84,3969,2.12%,20.7
2025-11-03,90,4305,2.09%,20.3
2025-11-04,77,4172,1.85%,20.4
2025-11-05,69,4156,1.66%,21.2
2025-11-06,79,4253,1.86%,21
2025-11-07,70,4157,1.68%,21.3
2025-11-08,67,4803,1.39%,23.3
2025-11-09,99,4425,2.24%,20.1
2025-11-10,99,5103,1.94%,18.9
2025-11-11,83,4596,1.81%,21.1
2025-11-12,82,4593,1.79%,20
2025-11-13,68,4798,1.42%,22.1
2025-11-14,79,4485,1.76%,21.9
2025-11-15,70,4103,1.71%,21.8
2025-11-16,70,4251,1.65%,21.6
2025-11-17,85,4289,1.98%,21.8
2025-11-18,62,4013,1.54%,22.2
2025-11-19,63,4117,1.53%,21.9
2025-11-20,55,4081,1.35%,23.5
2025-11-21,57,4363,1.31%,23.6
2025-11-22,67,4098,1.63%,22.9
2025-11-23,73,3701,1.97%,23.6
2025-11-24,52,3812,1.36%,23.5
2025-11-25,41,3401,1.21%,25.5
2025-11-26,41,3349,1.22%,25.3
2025-11-27,48,3185,1.51%,27.5
2025-11-28,50,3193,1.57%,27.4
2025-11-29,45,2805,1.6%,28
2025-11-30,34,2745,1.24%,28.6
2025-12-01,32,2484,1.29%,30.2
2025-12-02,24,2417,0.99%,30.3
2025-12-03,23,2012,1.14%,31.2
2025-12-04,25,2133,1.17%,31.8
2025-12-05,29,2030,1.43%,31.3
2025-12-06,24,1938,1.24%,30.8
2025-12-07,17,1852,0.92%,33.1
2025-12-08,16,1975,0.81%,31.6
2025-12-09,18,1806,1%,29.1
2025-12-10,16,1918,0.83%,31.9
2025-12-11,17,1784,0.95%,32.8
2025-12-12,11,2432,0.45%,39.2
2025-12-13,11,1602,0.69%,33.3
2025-12-14,16,1460,1.1%,32.8
2025-12-15,17,1504,1.13%,34.1
2025-12-16,6,1468,0.41%,32.5
2025-12-17,18,1386,1.3%,33
2025-12-18,15,1323,1.13%,30.6
2025-12-19,8,1417,0.56%,38.6
2025-12-20,10,1360,0.74%,35.8
2025-12-21,6,1172,0.51%,38.4
2025-12-22,16,1246,1.28%,36
2025-12-23,8,1054,0.76%,36.6
2025-12-24,12,1112,1.08%,39.2
2025-12-25,6,1106,0.54%,38.3
2025-12-26,8,973,0.82%,40.8
2025-12-27,9,870,1.03%,41.1
2025-12-28,1,758,0.13%,44.6
2025-12-29,2,773,0.26%,42.7
2025-12-30,4,798,0.5%,43.2
