Pays,Clics,Impressions,CTR,Position
Dominique,0,15,0%,38.73
Gambie,0,14,0%,24.43
Man (Île),0,14,0%,32.14
Sierra Leone,0,13,0%,26
Sint Maarten,0,11,0%,33.82
Tadjikistan,0,11,0%,44.36
Maldives,0,11,0%,56.36
Macao,0,10,0%,45.6
Liberia,0,9,0%,15.11
Jersey,0,8,0%,41.12
Guyane française,0,7,0%,21.86
Turkménistan,0,7,0%,34
Gibraltar,0,7,0%,45.29
Guinée-Bissau,0,6,0%,8.67
Faroe (Îles),0,5,0%,25
Groenland,0,5,0%,37.2
Nouvelle-Calédonie,0,4,0%,11
Pays-Bas caribéens,0,4,0%,31.5
Lesotho,0,4,0%,35.25
Soudan,0,3,0%,6.33
Papouasie-Nouvelle Guinée,0,3,0%,10
Sao Tomé-et-Principe,0,3,0%,15
Polynésie française,0,3,0%,37
Guinée équatoriale,0,3,0%,38.67
Guam,0,3,0%,47.33
Anguilla,0,3,0%,48.33
Saint-Barthélemy,0,2,0%,4.5
Îles Falkland (Malouines),0,2,0%,13
Soudan du Sud,0,2,0%,16
Liechtenstein,0,2,0%,36
Bhutan,0,2,0%,40.5
Fidji,0,2,0%,50.5
Îles Åland,0,2,0%,53
Îles Vierges américaines,0,2,0%,53
Saint-Martin,0,1,0%,12
Micronésie,0,1,0%,26
Antarctique,0,1,0%,29
Swaziland,0,1,0%,34
Sainte-Hélène,0,1,0%,39
Vanuatu,0,1,0%,45
Guernesey,0,1,0%,46
Saint-Marin,0,1,0%,52
Cook (Îles),0,1,0%,70
